Piece_1,Bach | Cello Suite No. 1 in G Major,Bach | Cello Suite No. 2 in D Minor,Bach | Cello Suite No. 3 in C Major,Bach | Cello Suite No. 4 in E-flat Major,Bach | Cello Suite No. 5 in C Minor,Bach | Cello Suite No. 6 in D Major,Chopin | Waltz Op. 34 No. 1 in A-flat Major,Chopin | Waltz Op. 34 No. 2 in A Minor,Chopin | Waltz Op. 34 No. 3 in F Major,Chopin | Waltz Op. 42 in A Major,Chopin | Waltz Op. 64 No. 1 'Minute Waltz',Chopin | Waltz Op. 64 No. 2 in C Minor,Chopin | Waltz Op. 64 No. 3 in A-flat Major,Chopin | Étude Op. 10 No. 1 'Waterfall',Chopin | Étude Op. 10 No. 10,Chopin | Étude Op. 10 No. 2 'Chromatic',Chopin | Étude Op. 10 No. 4 'Torrent',Chopin | Étude Op. 10 No. 5 'Black Keys',Chopin | Étude Op. 10 No. 6 'Lament',Chopin | Étude Op. 10 No. 7 'Toccata',Chopin | Étude Op. 10 No. 8 'Sunshine',Chopin | Étude Op. 10 No. 9,Chopin | Étude Op. 25 No. 11 'Winter Wind',Chopin | Étude Op. 25 No. 12 'Ocean',Chopin | Étude Op. 25 No. 2 'The Bees',Chopin | Étude Op. 25 No. 9 'Butterfly',"Mozart | Piano Sonata No. 10 in C Major, K. 330 (1st movement)","Mozart | Piano Sonata No. 11 in A Major, K. 331 'Rondo Alla Turca'",Ysaÿe | Violin Sonata No. 1 in G Minor,Ysaÿe | Violin Sonata No. 2 in A Minor,Ysaÿe | Violin Sonata No. 3 in D Minor,Ysaÿe | Violin Sonata No. 4 in E Minor,Ysaÿe | Violin Sonata No. 5 in G Major,Ysaÿe | Violin Sonata No. 6 in E Major
Bach | Cello Suite No. 1 in G Major,0.840045248043575,0.7479951332761966,0.5647307723955249,0.4889145817937219,0.5810033458584285,0.4518204244462982,0.37952282293985207,0.2694542996264508,0.1307238015063253,0.4050529010268274,0.10921600593116985,0.18934093349271242,0.2495534965182191,0.715191559349548,0.30356107715374836,0.22887138450439337,0.20730800851213382,0.2454824938765492,0.14106359622134823,0.20730800851213382,0.21169670850391337,0.09800058720633055,0.727030642938702,0.37952282293985207,0.2372439325449073,0.0864398369433024,0.3252278885134588,0.1254544548428975,0.5945973857234671,0.8104909998557602,0.6156033268475573,0.869408997996598,0.8033840644799888,0.5290091132628398
Bach | Cello Suite No. 2 in D Minor,0.7479951332761966,0.7075054643502934,0.6113563083394883,0.5189106548998627,0.7028258842261842,0.4980751956286242,0.3403372173016992,0.23683197564060027,0.10637384554647235,0.3643449610459762,0.08614853942271024,0.16149569354707,0.2181178385470876,0.5404428451660469,0.2689049983720177,0.19866898125700075,0.1783914089236919,0.21428958593185776,0.11609708810926513,0.1783914089236919,0.18251841489735982,0.0756018854793339,0.6229759554190559,0.3709298248869072,0.20654228219867904,0.06473049178986613,0.289279838319918,0.10141870502695029,0.6817316444300952,0.7078646884488117,0.5623404646684781,0.7343774794827157,0.6751233369217264,0.48090978191080586
Bach | Cello Suite No. 3 in C Major,0.5647307723955249,0.6113563083394883,0.777512989064434,0.718998264340727,0.7191754473677117,0.6508526402324436,0.28993271060439124,0.17258193776817293,0.05841633052421167,0.3099410209605117,0.04071690195162439,0.10665417698772484,0.15620495287818506,0.438275760454659,0.20064945731363718,0.13918500478355986,0.12143983737087945,0.1528547991991031,0.06692526661551272,0.12143983737087945,0.12505143400148647,0.03148738784645731,0.5105015592068649,0.28993271060439124,0.14607503288968574,0.021973689763779343,0.21847974488155059,0.05408002257634957,0.6900954399180221,0.5480899749538369,0.41567319153596494,0.5350996234054196,0.5189145422587682,0.38617760212045726
Bach | Cello Suite No. 4 in E-flat Major,0.4889145817937219,0.5189106548998627,0.718998264340727,0.650464418293317,0.685886437904909,0.7740243762161997,0.23695831266985956,0.15076822684099878,0.042134139818606656,0.256949855713174,0.025292279032176474,0.0880347795733805,0.1351847350639912,0.4228322908647432,0.17747582674268403,0.11898943275655388,0.10210404925557827,0.13199690209837597,0.05023080330706943,0.10210404925557827,0.10554065781160991,0.016509950775185994,0.4539339697521429,0.23695831266985956,0.12554562713887907,0.007457207743653821,0.1944422061808263,0.03800793345632352,0.6127158927945844,0.49062190405000183,0.3820812908512597,0.49572130648886203,0.4803204203884396,0.35401481352333847
Bach | Cello Suite No. 5 in C Minor,0.5810033458584285,0.7028258842261842,0.7191754473677117,0.685886437904909,0.8489819057921496,0.6022212339888444,0.28591213195300125,0.19152266528827733,0.07255406887670177,0.30780549784905264,0.0541100188216969,0.1228212993169339,0.174456694608929,0.4894685561048705,0.2207709957241054,0.1567207110259876,0.13822899788103177,0.17096559873001185,0.08142097904496888,0.13822899788103177,0.14199253571278822,0.04449221565698197,0.5235289802746321,0.28591213195300125,0.16390060515356392,0.03457827279009846,0.23935141006059218,0.0680353308555118,0.8142884166695384,0.5675313631776604,0.4666021321890835,0.5920788248817371,0.5524256100758885,0.3905758802007142
Bach | Cello Suite No. 6 in D Major,0.4518204244462982,0.4980751956286242,0.6508526402324436,0.7740243762161997,0.6022212339888444,0.6852836704421787,0.22349797106400762,0.1395623868986197,0.03376987646298426,0.24296658891687684,0.017368553620029176,0.07846987849142986,0.12438651750411842,0.404509984115142,0.16557138756088344,0.10861484090306524,0.0921711337831402,0.1212820697057732,0.04165475293293124,0.0921711337831402,0.09551784986915317,0.008815947534378228,0.434798126432597,0.22349797106400762,0.11499954281037014,0.0,0.1820939719813209,0.029751600601270207,0.5745798187286468,0.4535227695394365,0.3648249210529338,0.458606188060146,0.4432484008001195,0.337492587556233
Chopin | Waltz Op. 34 No. 1 in A-flat Major,0.37952282293985207,0.3403372173016992,0.28993271060439124,0.23695831266985956,0.28591213195300125,0.22349797106400762,0.6417736888305299,0.5187150959679528,0.3167770519144195,0.825495529231184,0.2854700053082049,0.4021009651256965,0.48974720996432136,0.4449514997592761,0.6219053740428943,0.4596420398426684,0.42825408960769323,0.48382140185481887,0.33182780102121523,0.42825408960769323,0.4346423424020452,0.2691446857049096,0.4125661126227042,0.8683513460846519,0.47182923730794113,0.25231669670795653,0.7650826591697187,0.3091069175670949,0.2948342526581032,0.3779927713205295,0.46850857413651276,0.40569859786470786,0.38733708419377094,0.5690398505034812
Chopin | Waltz Op. 34 No. 2 in A Minor,0.2694542996264508,0.23683197564060027,0.17258193776817293,0.15076822684099878,0.19152266528827733,0.1395623868986197,0.5187150959679528,0.4803548680656162,0.43636643437822265,0.5436893004059244,0.3987607266261173,0.6989527563570809,0.7859471918947322,0.32392418616791563,0.8157467858934214,0.6817750687200218,0.6473537955626298,0.8513899510532904,0.4544452419859665,0.5702715246057857,0.5779450292532436,0.37915091782865085,0.29696309741169624,0.5187150959679528,0.6226135513156787,0.3589373076393895,0.6524408398877898,0.4271531465739487,0.19895040074221948,0.26818051965475587,0.3435356353206822,0.26441190858499813,0.27595973339948965,0.39398049582584355
Chopin | Waltz Op. 34 No. 3 in F Major,0.1307238015063253,0.10637384554647235,0.05841633052421167,0.042134139818606656,0.07255406887670177,0.03376987646298426,0.3167770519144195,0.43636643437822265,0.5201975953310474,0.29454818132647,0.7580058552517226,0.6661017278718431,0.4633192471715034,0.17138121570520737,0.3944661169679243,0.4935745686990334,0.5278670551594102,0.4690855030327748,0.8945260385959667,0.5278670551594102,0.5206426893970503,0.6022791264515773,0.15125691909996325,0.3167770519144195,0.48103376504361134,0.5751983817633737,0.370310886590049,0.7908288744149466,0.0780982793769523,0.12977302662508855,0.1860195941170545,0.12696005984754627,0.13557958756074445,0.2236726482720673
Chopin | Waltz Op. 42 in A Major,0.4050529010268274,0.3643449610459762,0.3099410209605117,0.256949855713174,0.30780549784905264,0.24296658891687684,0.825495529231184,0.5436893004059244,0.29454818132647,0.47972609290639895,0.26441190858499813,0.37668127909987303,0.5178716550761592,0.507457240263784,0.6398073939457819,0.4320705192067266,0.4018563683487792,0.51260965104581,0.30903608514413067,0.4018563683487792,0.40800572286866044,0.2486970987421897,0.43937990022139267,0.825495529231184,0.4438019581823445,0.23249841758003895,0.6664616689090271,0.2871648831328671,0.3170742369242904,0.40346340793433466,0.4974956886237524,0.3987607266261173,0.4131707410586146,0.5988874758277799
Chopin | Waltz Op. 64 No. 1 'Minute Waltz',0.10921600593116985,0.08614853942271024,0.04071690195162439,0.025292279032176474,0.0541100188216969,0.017368553620029176,0.2854700053082049,0.3987607266261173,0.7580058552517226,0.26441190858499813,0.41330850239151834,0.5148018115884323,0.42429395992817626,0.14773203207510144,0.35906725982274973,0.4529557619121164,0.4854420951203069,0.4297565124756381,0.6061725639727472,0.4854420951203069,0.47859822995920115,0.7919322416124848,0.12866766338740626,0.2854700053082049,0.44107547067924635,0.6226135513156787,0.336184262881628,0.6403969918141365,0.059362220930039115,0.1083153074754447,0.16159942075991782,0.10565049703236419,0.11381604226664553,0.19726932369912684
